Sr. No. ,Institute Code ,Institute Name 
87,6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune"
88,6161,"JSPM's Jayawant Institute of Computer Application, Tathawade, Pune"
89,6162,"G. H.Raisoni Edu & Medical Foundation's G.H.Raisoni Inst of Management & Research, Haveli, Pune"
90,6164,"Psd Shastri Educational Foundation's Asma Institute Of Management, Pune"
91,6165,"Nav Sahyadri Charitable Trust's Institute of Business Management & Research, Chakan, Pune"
92,6166,"Audyogik Shikshan Mandal's Institute of Professional Studies, Pimpri Waghere, Pune"
93,6167,"Kamla Education Society's  Pratibha Institute of Business Management, Chinchwad, Pune"
94,6168,"Shikshan Maharshi Dr. D.Y. Patil Centre for Management & Research, Chikhali , Pune"
95,6169,"Swargeeya Sanjibhai Rupjibhai Memorial Trust, Institute of  Management & Research, Silvassa "
96,6170,"Abhinav Education Society's Institute of Management and Research, Haveli, Pune"
97,6172,"Dr. D. Y. Patil Educational Academy's   D.Y. Patil Institute of Management, Talegaon Dabhade, Pune"
98,6174,"KJ's Educational Institute Trinity Institute of Management & Research, Haveli, Pune"
99,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
100,6176,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune"
101,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
102,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"
103,6179,"Indira College of Engineering & Management, Pune"
104,6180,"Jayawant Shikshan Prasarak Mandal, ENIAC Institute of Computer Application, Wagholi, Pune"
105,6181,"Jayawant Shikshan Prasarak Mandal, Abacus Institute of Computer Application, Hadapsar,  Pune"
106,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
107,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
108,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
109,6185,"Sinhagad Institute of Technology, Lonavala"
110,6186,"Indsearch Institute Of Management Studies & Research, Pune"
111,6187,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune"
112,6188,"Eagle Education Society's Unique Institute of Management, Pune"
113,6189,"Dr. D. Y. Patil School Of Management, Lohegaon,Pune"
114,6191,"Shri Bhairavnath Shikshan Prasarak Mandal's Adhalrao Patil Institute of Management and Research, Landewadi"
115,6192,"Pimpri Chinchwad Education Trust's S.B. Patil Institute of Management, Nigdi, Pune"
116,6195,"Zeal Education Society's, Zeal Institute of Management and Computer Application, Nahre, Pune"
117,6196,"RIIM - The Academy School Of Business Management, Pune"
118,6197,ADITYA INSTITUTE OF MANAGEMENT- AIMS
119,6199,"Poona Institute of Management Studies & Enterpreneurship, Pune - 411001"
120,6200,"Nav-Sahyadri Charitable Trust's Institute of Management Science,Pimpri BK, Khed"
121,6201,"Dr. D. Y. Patil School Of MCA, Lohegaon,Pune"
122,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
123,6204,"Rastriya Shikshan Mandal's Chetan Dattaji Gaikwad Institute of Management Studies, Pune"
124,6205,"Sinhgad Institute of Business Administration and Computer Application, Lonavala "
125,6206,"Pune District Education  Association's College of Engineering, Pune"
126,6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune"
127,6208,"Deccan Education Society's Chintamanrao Institute of Management Development & Research, Sangli"
128,6209,"Deshbhakta Ratnappa Kumbhar College of Commerce Department of Management Studies, Kolhapur"
129,6210,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil Institute of Management Studies & Research, Satara"
130,6211,"S.A.P.D.J. Pathshala's Hirachand Nemchand College of Commerce Department of Management Studies, Solapur"
131,6212,"KIT's Institute of Management  Education & Research, Kolhapur "
132,6213,"Chh. Shahu Institute Of Business  Edu  And Res Vasantraodada Patil Institute Of Management Studies & Research, Sangli"
133,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
134,6215,"Sou. Sushila Danchand Ghodawat Cha.Trust's Sanjay Ghodavat Group of Institution (Integrated Campus), Atigre, Kolhapur"
135,6216,"Krishna Foundation Malkapur-Karad's Jaywant Institute of Management, Wathar"
136,6217,"Shri. Balasaheb Mane Shikshan  Prasarak Mandal's, Ashokrao Mane Group of Institutions"
137,6218,"Gaurishankar Educational & Charitable Trust's Gaurishankar Institute of management Sciences, Limb, Satara"
138,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
